t,count,p,min_prone_overlap,min_n_flights,min_util,int1,int2,int3,int4,n_potential_conflics,E[n_conflicts],total_remaining_conflicts,disruption_occured,recovered,value,prev_action,folder
3,5958,0.68,60.0,1,0.23333333333333334,60.0,0.23333333333333334,14.0,81.60000000000001,2.0,1.36,0,0,0.0,-81.40997025400357,"('none', 'none', 'none')",TRAIN10
4,5948,0.68,60.0,1,0.17857142857142858,60.0,0.17857142857142858,10.714285714285715,81.60000000000001,2.0,1.36,0,0,0.0,-81.3354713733799,"('none', 'none', 'none')",TRAIN10
5,5880,0.68,60.0,1,0.1346153846153846,60.0,0.1346153846153846,8.076923076923077,81.60000000000001,2.0,1.36,0,0,0.0,-81.47245928864338,"('none', 'none', 'none')",TRAIN10
6,5942,0.68,5.0,2,0.2916666666666667,10.0,0.5833333333333334,2.916666666666667,3.4000000000000004,1.0,0.68,0,0,0.0,-10.839898905084915,"('swap', '4', '#5')",TRAIN10
7,1865,0.68,0,1,0.25,0,0.45454545454545453,0.0,0,0.0,0,0,1,1.0,0,"('swap', '5', '#5')",TRAIN10
1,5998,0.69,0.0,0,0.1323529411764706,0.0,0.0,0.0,0.0,3.0,2.07,0,0,0.0,-11.240776342627777,"('swap', '6', '#3')",TRAIN13
2,5502,0.69,0.0,1,0.234375,0.0,0.234375,0.0,0.0,2.0,1.38,0,0,0.0,-6.5420426055109955,"('swap', '8', '#4')",TRAIN13
3,5524,0.69,0.0,1,0.18333333333333332,0.0,0.18333333333333332,0.0,0.0,2.0,1.38,0,0,0.0,-7.016752937014021,"('none', 'none', 'none')",TRAIN13
4,5538,0.69,0.0,1,0.17857142857142858,0.0,0.17857142857142858,0.0,0.0,2.0,1.38,0,0,0.0,-7.582693426430845,"('none', 'none', 'none')",TRAIN13
5,3772,0.69,0.0,2,0.28846153846153844,0.0,0.5769230769230769,0.0,0.0,1.4492753623188408,1.0,1,1,0.0,-5.0,"('swap', '12', '#4')",TRAIN13
6,1342,0.69,0,1,0.3333333333333333,0,0.3333333333333333,0.0,0,0.0,0,0,1,1.0,0,"('swap', '16', '#4')",TRAIN13
1,5984,0.65,15.0,2,0.35294117647058826,30.0,0.7058823529411765,10.588235294117649,9.75,1.0,0.65,0,0,0.0,-17.144993015597173,"('swap', '17', '#6')",TRAIN14
2,5968,0.65,15.0,2,0.359375,30.0,0.71875,10.78125,9.75,1.0,0.65,0,0,0.0,-16.49467862290402,"('none', 'none', 'none')",TRAIN14
3,5958,0.65,15.0,2,0.31666666666666665,30.0,0.6333333333333333,9.5,9.75,1.0,0.65,0,0,0.0,-15.79934450286771,"('none', 'none', 'none')",TRAIN14
4,5958,0.65,15.0,2,0.30357142857142855,30.0,0.6071428571428571,9.107142857142856,9.75,1.0,0.65,0,0,0.0,-15.219921252695444,"('none', 'none', 'none')",TRAIN14
5,5954,0.65,15.0,2,0.25,30.0,0.5,7.5,9.75,1.0,0.65,0,0,0.0,-16.379550475669618,"('none', 'none', 'none')",TRAIN14
6,1949,0.65,0,1,0.3333333333333333,0,0.4166666666666667,0.0,0,0.0,0,0,1,1.0,0,"('swap', '5', '#5')",TRAIN14
1,5688,0.59,30.0,1,0.23529411764705882,60.0,0.23529411764705882,28.235294117647058,17.7,1.0,0.59,0,0,0.0,-24.92102723319446,"('swap', '17', '#2')",TRAIN15
2,5688,0.59,30.0,1,0.21875,60.0,0.21875,26.25,17.7,1.0,0.59,0,0,0.0,-24.500437140801772,"('none', 'none', 'none')",TRAIN15
3,5688,0.59,30.0,1,0.16666666666666666,60.0,0.16666666666666666,22.5,17.7,1.0,0.59,0,0,0.0,-23.338180235217585,"('none', 'none', 'none')",TRAIN15
4,5688,0.59,30.0,1,0.17857142857142858,60.0,0.17857142857142858,23.57142857142857,17.7,1.0,0.59,0,0,0.0,-21.134512377684583,"('none', 'none', 'none')",TRAIN15
5,5688,0.59,30.0,1,0.19230769230769232,60.0,0.19230769230769232,20.76923076923077,17.7,1.0,0.59,0,0,0.0,-17.721971447069503,"('none', 'none', 'none')",TRAIN15
6,5688,0.59,30.0,1,0.2916666666666667,60.0,0.5208333333333334,17.5,17.7,1.0,0.59,0,0,0.0,-13.479815156037189,"('none', 'none', 'none')",TRAIN15
7,1753,0.59,0,0,0.3181818181818182,0,0.0,0.0,0,0.0,0,0,1,1.0,0,"('swap', '13', '#6')",TRAIN15
1,5998,0.6,0,1,0.08823529411764706,0,0.08823529411764706,0.0,0.0,0.0,0.0,0,0,0.0,0.0,"('none', 'none', 'none')",TRAIN19
2,5998,0.6,0,1,0.359375,0,0.375,0.0,0,0.0,0,0,0,0.0,0.0,"('none', 'none', 'none')",TRAIN19
3,1831,0.6,0,1,0.3333333333333333,0,0.3333333333333333,0.0,0,0.0,0,0,1,1.0,0,"('none', 'none', 'none')",TRAIN19
1,5942,0.68,0.0,1,0.25,0.0,0.25,0.0,0.0,1.0,0.68,0,0,0.0,-3.2270845397894212,"('swap', '4', '#6')",TRAIN17
2,5942,0.68,0.0,1,0.265625,0.0,0.265625,0.0,0.0,1.0,0.68,0,0,0.0,-3.3052510906388743,"('none', 'none', 'none')",TRAIN17
3,5942,0.68,0.0,1,0.21666666666666667,0.0,0.21666666666666667,0.0,0.0,1.0,0.68,0,0,0.0,-3.3774153460671457,"('none', 'none', 'none')",TRAIN17
4,5942,0.68,0.0,1,0.16071428571428573,0.0,0.16071428571428573,0.0,0.0,1.0,0.68,0,0,0.0,-3.358389608347909,"('none', 'none', 'none')",TRAIN17
5,5942,0.68,0.0,1,0.15384615384615385,0.0,0.15384615384615385,0.0,0.0,1.0,0.68,0,0,0.0,-3.1539411523553964,"('none', 'none', 'none')",TRAIN17
